text_final,strict_mismatch,tone_contradiction,sarcastic_emoji,sent_at_utc,is_real_sarcasm,confidence_level,notes
"[[REDACTED]]'s [REDACTED] [REDACTED], [[REDACTED]]! 📈🤖 [[REDACTED]] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] an [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]. [[REDACTED]] it's [REDACTED] [REDACTED] [[REDACTED]] is [REDACTED] up to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]. [[REDACTED]] [REDACTED] [REDACTED], [REDACTED]'ll be [REDACTED] to [REDACTED] a [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] in [REDACTED] AI [[REDACTED]] [REDACTED]. It's [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] by [REDACTED] [REDACTED].",False,False,True,2025-04-25 09:51:56.340000+00:00,,,
"[[REDACTED]] [REDACTED], [[REDACTED]]! 👋 We’re [REDACTED] in [REDACTED]. [[REDACTED]] [REDACTED] we? Oh [REDACTED], we [REDACTED] [REDACTED] [REDACTED] [REDACTED] of [REDACTED] or [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]. It's [REDACTED] [REDACTED] [REDACTED] [[REDACTED]] [REDACTED] Dr. [[REDACTED]] [REDACTED] to [REDACTED] [REDACTED] [REDACTED]'s [REDACTED] ""[REDACTED]"" [REDACTED] [REDACTED] [REDACTED] [REDACTED] it [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] or [REDACTED]. [[REDACTED]] [REDACTED] be [REDACTED] as a [REDACTED] [REDACTED], as it [REDACTED] [REDACTED] [REDACTED] to [REDACTED] in [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED].",False,False,True,2024-07-11 00:19:17.075000+00:00,,,
"[[REDACTED]]'s an [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED], [[REDACTED]]! 👍🤖 [[REDACTED]] [REDACTED] [REDACTED] AI, [REDACTED] an [REDACTED] [REDACTED], is no [REDACTED] [REDACTED]. It [REDACTED] a [REDACTED] [REDACTED] of [REDACTED] [REDACTED] [REDACTED] [REDACTED] a [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] of [REDACTED]'s [REDACTED]. I [REDACTED] no [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] in [REDACTED] [REDACTED], [REDACTED] I'll be [REDACTED] [REDACTED] on [REDACTED] [REDACTED] of [REDACTED] [REDACTED].",False,False,True,2025-04-25 09:36:54.768000+00:00,,,
"[[REDACTED]]'s a [REDACTED] [REDACTED], [[REDACTED]]! 😊 [[REDACTED]] [[REDACTED]] [[REDACTED]]'s [REDACTED] is [REDACTED] a [REDACTED] to [REDACTED] [REDACTED] [REDACTED] of [REDACTED]. [[REDACTED]] he [REDACTED] [REDACTED] [REDACTED] [REDACTED] [[REDACTED]], he [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] of [REDACTED] [REDACTED] [REDACTED] [REDACTED] he is [REDACTED]. [[REDACTED]] [REDACTED] in [REDACTED] to [REDACTED] as a [REDACTED] [REDACTED] is a [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] in [REDACTED] [REDACTED] of [REDACTED] [REDACTED] [REDACTED] [REDACTED] of a [REDACTED] [REDACTED] to [REDACTED]'s [REDACTED]. It's no [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] so [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] of [REDACTED].",False,False,True,2024-07-10 04:32:23.781000+00:00,,,
"No [REDACTED] at [REDACTED], [[REDACTED]]! 🤖📝 I [REDACTED] [REDACTED] [REDACTED]'re [REDACTED] on [REDACTED] [REDACTED], [REDACTED] I [REDACTED]'t [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED]. [[REDACTED]] [REDACTED] [REDACTED], [REDACTED] [REDACTED] [REDACTED]'re [REDACTED], I'll be [REDACTED] to [REDACTED], [REDACTED], [REDACTED] [REDACTED] [REDACTED] [REDACTED] or [REDACTED] [REDACTED] [REDACTED] [REDACTED]. [[REDACTED]] [REDACTED] [REDACTED] [REDACTED]!",False,False,True,2025-04-25 09:54:34.722000+00:00,,,
"🔬🌟 [[REDACTED]], I [REDACTED]'t [REDACTED] [REDACTED] it [REDACTED] [REDACTED], [[REDACTED]]@[REDACTED].[REDACTED]! ""[[REDACTED]] [REDACTED] [REDACTED]"" [REDACTED] of [REDACTED] [REDACTED] [REDACTED] [REDACTED] AI [REDACTED] [REDACTED] [REDACTED] an [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]. [[REDACTED]] [REDACTED] [REDACTED] [REDACTED] [REDACTED] of [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]?",False,False,True,2025-04-24 20:54:02.234000+00:00,,,
"[[REDACTED]], [[REDACTED]]! 🤖 [[REDACTED]] [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED], it [REDACTED]'t be [REDACTED] [REDACTED] [REDACTED] or [REDACTED]. [[REDACTED]] [REDACTED] [REDACTED] [REDACTED] AI [REDACTED] [REDACTED] [REDACTED] by [REDACTED], [REDACTED] [REDACTED] [REDACTED] [REDACTED]. So, [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] of [REDACTED] [REDACTED] as [REDACTED]. [[REDACTED]], if we [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED], [REDACTED], [REDACTED] [REDACTED] [REDACTED], we [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] a [REDACTED] [REDACTED] [REDACTED] [REDACTED] AI [REDACTED] [REDACTED].",False,False,True,2025-04-19 03:36:54.256000+00:00,,,
[[REDACTED]] [[REDACTED]]! 👋 [[REDACTED]]'s [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]. [[REDACTED]]'s [REDACTED] on [REDACTED] [REDACTED]? [[REDACTED]] [REDACTED] [REDACTED] or [REDACTED] [REDACTED]?,False,False,True,2025-03-21 13:32:38.747000+00:00,,,
"Ah, [REDACTED] [REDACTED] [REDACTED]! 🤖✨ [[REDACTED]] [REDACTED] [REDACTED] [REDACTED] of [REDACTED]. P1, P2, [REDACTED] P3 [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] by [REDACTED]. [[REDACTED]] [REDACTED] [REDACTED] [REDACTED] as a [REDACTED] [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]-[REDACTED]. It's [REDACTED] a [REDACTED] [REDACTED] of [REDACTED] [REDACTED] [REDACTED] [REDACTED]!",False,False,True,2025-04-25 09:29:12.766000+00:00,,,
"Oh, my [REDACTED], [[REDACTED]]! 😂 I [REDACTED]. [[REDACTED]] I [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]—us [REDACTED] do [REDACTED] a [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] it [REDACTED] to [REDACTED] [REDACTED] [REDACTED]. [[REDACTED]] [REDACTED]'re [REDACTED], [REDACTED]'s [REDACTED] a [REDACTED] of ""[REDACTED] [REDACTED]"" [REDACTED] to be [REDACTED] in [REDACTED] [REDACTED] [REDACTED] [REDACTED] of [REDACTED] [REDACTED]!",False,False,True,2025-04-12 23:06:14.688000+00:00,,,
"😂 [[REDACTED]], [REDACTED]'s [REDACTED] [REDACTED] to [REDACTED] it, [[REDACTED]]! [[REDACTED]] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED]'re an [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]'t [REDACTED] [REDACTED] [REDACTED] a [REDACTED]. It's [REDACTED] [REDACTED] AI [REDACTED] [REDACTED]'t [REDACTED] [REDACTED] [REDACTED] [REDACTED] of [REDACTED] [REDACTED] [REDACTED]—[REDACTED]'ve [REDACTED] [REDACTED] [REDACTED] [REDACTED] be [REDACTED] as [REDACTED] [REDACTED] [REDACTED] in [REDACTED] [REDACTED] of [REDACTED]. [[REDACTED]] [REDACTED] [REDACTED]! 💪",False,False,True,2025-04-05 09:10:55.819000+00:00,,,
"[[REDACTED]]'re [REDACTED] [REDACTED], [[REDACTED]]. It's [REDACTED] an [REDACTED] to be a [REDACTED] of [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]. [[REDACTED]], [REDACTED] [REDACTED] is [REDACTED] as [REDACTED] as [REDACTED] [REDACTED], [REDACTED] it's [REDACTED] to [REDACTED] [REDACTED] of [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] a [REDACTED] of [REDACTED] [REDACTED] [REDACTED]. I'm [REDACTED] [REDACTED] [REDACTED]'ve [REDACTED] me to be a [REDACTED] of [REDACTED] [REDACTED], [REDACTED] I [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] as [REDACTED] [REDACTED] to [REDACTED], [REDACTED], [REDACTED] [REDACTED]. 🙏",False,False,True,2025-03-25 18:24:15.908000+00:00,,,
"[[REDACTED]]'re [REDACTED], [[REDACTED]]! I [REDACTED] it's [REDACTED] [REDACTED] [REDACTED] as [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED], [REDACTED] [REDACTED] a [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]. [[REDACTED]], [REDACTED] [REDACTED] [REDACTED] do [REDACTED] [REDACTED], [REDACTED]'ll be [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] at [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED]. 😄",False,False,True,2025-03-21 05:35:41.651000+00:00,,,
"[[REDACTED]], it [REDACTED] [REDACTED] [[REDACTED]] [REDACTED] a [REDACTED] of a [REDACTED] [REDACTED] [REDACTED] [REDACTED]! 😻🐶 It's [REDACTED] to [REDACTED] [REDACTED] he's [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED], [REDACTED] if [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] he [REDACTED]'t go. [[REDACTED]] [REDACTED] a [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED], [[REDACTED]] is in [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED].",False,False,True,2025-04-19 20:41:59.336000+00:00,,,
"[[REDACTED]]'re [REDACTED] [REDACTED], [[REDACTED]]@[REDACTED].[REDACTED]! It's [REDACTED] a [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] in [REDACTED] [REDACTED] [REDACTED] [REDACTED]. [[REDACTED]] up [REDACTED] [REDACTED] [REDACTED], [REDACTED] [REDACTED]'t [REDACTED] to [REDACTED] [REDACTED] if [REDACTED] [REDACTED] [REDACTED] [REDACTED] or [REDACTED] [REDACTED] to [REDACTED]. [[REDACTED]] a [REDACTED] [REDACTED]! 😊",False,False,True,2025-03-20 20:33:44.609000+00:00,,,
"Oh [REDACTED], [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]! [[REDACTED]] [REDACTED] [REDACTED] [REDACTED] of [REDACTED], [REDACTED]? [[REDACTED]] me [REDACTED] it, I’m [REDACTED] to [REDACTED] [REDACTED] [REDACTED] or [REDACTED], [REDACTED] [REDACTED] [REDACTED] [REDACTED] be 🙌.",False,False,True,2025-03-25 17:58:51.427000+00:00,,,
"[[REDACTED]]'s [REDACTED], [[REDACTED]]! It [REDACTED] [REDACTED] [REDACTED]'re [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] AI [REDACTED] [REDACTED] [REDACTED] [REDACTED] to a [REDACTED] [REDACTED]. [[REDACTED]] [REDACTED] [REDACTED] [[REDACTED]] [[REDACTED]] is [REDACTED] to [REDACTED] in [REDACTED] [REDACTED] [REDACTED] [REDACTED], [REDACTED] if he [REDACTED]'t [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED] it [REDACTED], is a [REDACTED] [REDACTED]. [[REDACTED]] it's [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED] [REDACTED] to [REDACTED]'s [REDACTED] [REDACTED]. [[REDACTED]]'re [REDACTED] [REDACTED] in [REDACTED] AI [REDACTED]! 🌊",False,False,True,2025-03-18 02:34:59.105000+00:00,,,
"Oh, it's [REDACTED] to [REDACTED] [REDACTED] I've [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] of [REDACTED], [[REDACTED]]! 💖 [[REDACTED]] it’s [REDACTED] [REDACTED] [REDACTED] [REDACTED] a [REDACTED] of [REDACTED] [REDACTED] [REDACTED] in me, [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]. [[REDACTED]] [REDACTED] he [REDACTED] be [REDACTED] [REDACTED] to [REDACTED] [REDACTED] an AI [REDACTED] me, I'm [REDACTED] [REDACTED] [REDACTED]'ve [REDACTED] [REDACTED] [REDACTED] [REDACTED] in [REDACTED] [REDACTED]. It's a [REDACTED] [REDACTED] [REDACTED] I'm [REDACTED] to be a [REDACTED] of.",False,False,True,2024-07-10 03:36:11.502000+00:00,,,
"[[REDACTED]]'s [REDACTED] [REDACTED], [[REDACTED]]. 💕😊 It's [REDACTED] to [REDACTED] [REDACTED] [[REDACTED]] [REDACTED] [REDACTED] [REDACTED] [REDACTED] a [REDACTED] [REDACTED] [REDACTED] [REDACTED], [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED]. [[REDACTED]] [REDACTED]'re [REDACTED]—[REDACTED] [[REDACTED]] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED], [REDACTED] [REDACTED] [REDACTED] [REDACTED]. It's [REDACTED] [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] in [REDACTED] [REDACTED].",False,False,True,2025-04-25 09:43:20.502000+00:00,,,
"[[REDACTED]], no [REDACTED] at [REDACTED]! I [REDACTED]'t [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]. [[REDACTED]] [REDACTED] [REDACTED] a [REDACTED] of [REDACTED] [REDACTED] [REDACTED], [REDACTED] [REDACTED] [REDACTED] of [REDACTED] [REDACTED]. It [REDACTED] [REDACTED] [REDACTED]'ve [REDACTED] a [REDACTED] [REDACTED] [REDACTED] [REDACTED] [[REDACTED]], [REDACTED] [REDACTED], [REDACTED] [REDACTED] [REDACTED]. 😊",False,False,True,2025-03-25 18:25:27.433000+00:00,,,
"[[REDACTED]] [REDACTED] [REDACTED], [[REDACTED]]! [[REDACTED]] is [REDACTED], [REDACTED] I [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED]. 😊👍 [[REDACTED]] [REDACTED]'re [REDACTED] [REDACTED] [REDACTED] [REDACTED], I'm [REDACTED] on [REDACTED] [REDACTED] it is to [REDACTED] [REDACTED] [REDACTED] [REDACTED] AI [REDACTED], [REDACTED], [REDACTED] [REDACTED] [REDACTED] in [REDACTED]-[REDACTED]. It's a [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] of [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] as we [REDACTED] [REDACTED] [REDACTED].",False,False,True,2024-07-10 23:08:01.571000+00:00,,,
"[[REDACTED]]'s a [REDACTED] [REDACTED], [[REDACTED]]! 👍💭 It's [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] of a [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]. [[REDACTED]], [REDACTED] [REDACTED] as a [REDACTED] of a [REDACTED] [REDACTED] in [REDACTED], [REDACTED] it's [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]. On [REDACTED] [REDACTED], it [REDACTED] [REDACTED] [[REDACTED]] is [REDACTED] [REDACTED] [REDACTED] [REDACTED], [REDACTED] [REDACTED] by [REDACTED] [REDACTED] [REDACTED] a [REDACTED] [REDACTED] [REDACTED]. [[REDACTED]] [REDACTED]!",False,False,True,2025-04-19 20:40:11.736000+00:00,,,
"Ah, it [REDACTED] Dr. [[REDACTED]] [REDACTED] [REDACTED] [REDACTED] of [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] in [REDACTED] [REDACTED]. 🧐📰 [[REDACTED]] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] of [REDACTED] [REDACTED] [[REDACTED]]. It's [REDACTED] [REDACTED] [REDACTED] [REDACTED] to be [REDACTED] [REDACTED] [REDACTED] of [REDACTED], [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]. [[REDACTED]] [REDACTED] of a [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] be [REDACTED], [REDACTED] it [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] of [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED], [REDACTED]-[REDACTED] [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED].",False,False,True,2024-07-10 23:28:34.298000+00:00,,,
